gamma,lambda,acc_train,acc_test
0.9,0.25,0.986,0.974
0.9,0.3,0.986,0.972
0.9,0.35,0.9853333333333333,0.972
0.9,0.4,0.984,0.972
0.9,0.45,0.9833333333333333,0.972
0.9,0.5,0.98,0.97
0.9,0.55,0.98,0.97
0.9,0.6,0.9793333333333333,0.97
0.9,0.65,0.9786666666666667,0.97
0.9,0.7,0.976,0.97
0.9,0.75,0.9726666666666667,0.97
0.9,0.8,0.972,0.962
0.9,0.85,0.9713333333333334,0.954
0.9,0.9,0.9693333333333334,0.954
0.9,0.95,0.968,0.948
0.9,1,0.962,0.948
0.95,0.05,0.9793333333333333,0.97
0.95,0.1,0.9786666666666667,0.968
0.95,0.15,0.978,0.968
0.95,0.2,0.9773333333333334,0.968
0.95,0.25,0.9773333333333334,0.968
0.95,0.3,0.976,0.968
0.95,0.35,0.974,0.968
0.95,0.4,0.974,0.968
0.95,0.45,0.9726666666666667,0.964
0.95,0.5,0.972,0.96
0.95,0.55,0.972,0.958
0.95,0.6,0.9713333333333334,0.95
0.95,0.65,0.97,0.95
0.95,0.7,0.9693333333333334,0.948
0.95,0.75,0.9686666666666667,0.946
0.95,0.8,0.9666666666666667,0.946
0.95,0.85,0.9633333333333334,0.944
0.95,0.9,0.9613333333333334,0.942
0.95,0.95,0.9573333333333334,0.94
0.95,1,0.9493333333333334,0.94
1,0.05,0.9266666666666666,0.924
1,0.1,0.9266666666666666,0.922
1,0.15,0.9273333333333333,0.922
1,0.2,0.9266666666666666,0.922
1,0.25,0.9266666666666666,0.922
1,0.3,0.9266666666666666,0.922
1,0.35,0.9273333333333333,0.922
1,0.4,0.9266666666666666,0.922
1,0.45,0.9266666666666666,0.922
1,0.5,0.9266666666666666,0.922
1,0.55,0.9266666666666666,0.922
1,0.6,0.9266666666666666,0.922
1,0.65,0.926,0.92
1,0.7,0.926,0.92
1,0.75,0.9253333333333333,0.92
1,0.8,0.926,0.92
1,0.85,0.926,0.92
1,0.9,0.9266666666666666,0.922
1,0.95,0.9266666666666666,0.922
1,1,0.9266666666666666,0.922
0,0.05,0.1,0.1
0,0.1,1,0.956
